REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES,ICAO 24,ICAO ACFT CLASS,OWNER,COUNTRY
G-KAXW,,SCOU,,,,,,,,,,,,,,403EC4,H1T,ORION ENTERPRISES LTD,UNITED KINGDOM
G-KAYD,,ST75,,,,,,,,,,,,,,406EB5,L1P,PRIVATE,UNITED KINGDOM
G-KAYH,,E300,,,,,,,,,,,,,,404623,L1P,PRIVATE,UNITED KINGDOM
G-KAYI,,BALL,,,,,,,,,,,,,,404DEE,,PRIVATE,UNITED KINGDOM
G-KAYS,,H500,,,,,,,,,,,,,,405012,H1T,TRANSAIR (UK) LTD,UNITED KINGDOM
G-KAZB,,S76,,,,,,,,,,,,,,400F8B,H2T,,UNITED KINGDOM
G-KAZI,,ULAC,,,,,,,,,,,,,,404E2B,,PRIVATE,UNITED KINGDOM
G-KBEB,,C182,,,,,,,,,,,,,,40799E,L1P,,UNITED KINGDOM
G-KBMM,,GL5T,,,,,,,,,,,,,,407292,L2J,BOOKAJET OPERATIONS LTD,UNITED KINGDOM
G-KBOJ,,MT,,,,,,,,,,,,,,406100,G1P,KAI MARK GEOFFREY BARNETT,UNITED KINGDOM
G-KBOX,,FDCT,,,,,,,,,,,,,,405AC2,L1P,PRIVATE,UNITED KINGDOM
G-KBWP,,ARCP,,,,,,,,,,,,,,4066A3,L1P,PRIVATE,UNITED KINGDOM
G-KCHG,,VENT,,,,,,,,,,,,,,404FA0,L1P,PRIVATE,UNITED KINGDOM
G-KCIG,,RF5,,,,,,,,,,,,,,40221C,L1P,PRIVATE,UNITED KINGDOM
G-KCIN,,P28A,,,,,,,,,,,,,,4.04E+72,L1P,PRIVATE,UNITED KINGDOM
G-KCMI,,P46T,,,,,,,,,,,,,,4076F4,L1T,,UNITED KINGDOM
G-KCWJ,,DUOD,,,,,,,,,,,,,,40648D,L1P,PRIVATE,UNITED KINGDOM
G-KDCD,,ULAC,,,,,,,,,,,,,,40404B,,PRIVATE,UNITED KINGDOM
G-KDEN,,C42,,,,,,,,,,,,,,407755,L1P,,UNITED KINGDOM
G-KDEY,,SF25,,,,,,,,,,,,,,4040DF,L1P,PRIVATE,UNITED KINGDOM
G-KDHI,,P28A,,,,,,,,,,,,,,407888,L1P,,UNITED KINGDOM
G-KDIX,,D9,,,,,,,,,,,,,,40221D,,P M BOWDEN,UNITED KINGDOM
G-KDKD,,PIVE,,,,,,,,,,,,,,407F6C,,,UNITED KINGDOM
G-KDLO,,GLID,,,,,,,,,,,,,,407EF2,,,UNITED KINGDOM
G-KDOG,,BDOG,,,,,,,,,,,,,,404584,L1P,PRIVATE,UNITED KINGDOM
G-KDRZ,,P28A,,,,,,,,,,,,,,407B12,L1P,,UNITED KINGDOM
G-KEAM,,AS26,,,,,,,,,,,,,,404AE2,L1P,PRIVATE,UNITED KINGDOM
G-KEAY,,MT,,,,,,,,,,,,,,4069A0,G1P,RODNEY KEAY,UNITED KINGDOM
G-KEDK,,DISC,,,,,,,,,,,,,,4064F1,L1P,PRIVATE,UNITED KINGDOM
G-KEEF,,AC11,,,,,,,,,,,,,,400D93,L1P,PRIVATE,UNITED KINGDOM
G-KEEN,,SA30,,,,,,,,,,,,,,40221E,L1P,PRIVATE,UNITED KINGDOM
G-KEES,,P28A,,,,,,,,,,,,,,403DE5,L1P,PRIVATE,UNITED KINGDOM
G-KEJY,,EV97,,,,,,,,,,,,,,404BF1,L1P,PRIVATE,UNITED KINGDOM
G-KELI,,R44,,,,,,,,,,,,,,400DEE,H1P,MANOR CORPORATE LTD,UNITED KINGDOM
G-KELL,,RV6,,,,,,,,,,,,,,403A97,L1P,PRIVATE,UNITED KINGDOM
G-KELP,,AP22,,,,,,,,,,,,,,40732F,L1P,PRIVATE,UNITED KINGDOM
G-KELS,,RV7,,,,,,,,,,,,,,4046D9,L1P,PRIVATE,UNITED KINGDOM
G-KELT,ACROPOLIS AVIATION LTD,A20N,,,,,,,CRV,,,CARGOIV,,,,407600000,L2J,ACROPOLIS AVIATION,UNITED KINGDOM
G-KELX,,RV6,,,,,,,,,,,,,,404DE5,L1P,PAUL MCMAHON,UNITED KINGDOM
G-KELZ,,RV8,,,,,,,,,,,,,,404A23,L1P,PRIVATE,UNITED KINGDOM
G-KEMC,,G109,,,,,,,,,,,,,,40221F,L1P,NORFOLK GLIDING CLUB LTD,UNITED KINGDOM
G-KEMD,,GAZL,,,,,,,,,,,,,,4066DE,H1T,,UNITED KINGDOM
G-KEMH,,GAZL,,,,,,,,,,,,,,407782,H1T,,UNITED KINGDOM
G-KEMI,,P28A,,,,,,,,,,,,,,404027,L1P,PRIVATE,UNITED KINGDOM
G-KEMJ,,GLID,,,,,,,,,,,,,,40777B,,,UNITED KINGDOM
G-KENA,,BALL,,,,,,,,,,,,,,407487,,,UNITED KINGDOM
G-KENB,,GYRO,,,,,,,,,,,,,,403002,,,UNITED KINGDOM
G-KENC,,C42,,,,,,,,,,,,,,40712A,L1P,PRIVATE,UNITED KINGDOM
G-KENG,,MT,,,,,,,,,,,,,,40512F,G1P,KENNETH ALLAN GRAHAM,UNITED KINGDOM
G-KENI,,EXEC,,,,,,,,,,,,,,402DF8,H1P,SIMON WESTMORE,UNITED KINGDOM
G-KENK,,BALL,,,,,,,,,,,,,,406CF8,,PRIVATE,UNITED KINGDOM
G-KENM,,L8,,,,,,,,,,,,,,403325,L1P,PRIVATE,UNITED KINGDOM
G-KENW,,DR40,,,,,,,,,,,,,,4048ED,L1P,PRIVATE,UNITED KINGDOM
G-KENX,,BALL,,,,,,,,,,,,,,407488,,,UNITED KINGDOM
G-KENZ,,VEZE,,,,,,,,,,,,,,400C04,L1P,PRIVATE,UNITED KINGDOM
G-KEPE,,NIMB,,,,,,,,,,,,,,404EB2,L1P,PRIVATE,UNITED KINGDOM
G-KEPP,,COY2,,,,,,,,,,,,,,404CC7,L1P,PRIVATE,UNITED KINGDOM
G-KESS,,DG40,,,,,,,,,,,,,,4.04E+78,L1P,PRIVATE,UNITED KINGDOM
G-KEST,,BOLT,,,,,,,,,,,,,,4022CF,L1P,PRIVATE,UNITED KINGDOM
G-KESY,,GLID,,,,,,,,,,,,,,405429,,PRIVATE,UNITED KINGDOM
G-KETH,,B06,,,,,,,,,,,,,,404A49,H1T,DAC LEASING LTD,UNITED KINGDOM
G-KEVA,,ULAC,,,,,,,,,,,,,,406A28,,PRIVATE,UNITED KINGDOM
G-KEVB,,P28A,,,,,,,,,,,,,,4.03E+33,L1P,PRIVATE,UNITED KINGDOM
G-KEVF,,NG5,,,,,,,,,,,,,,4.07E+101,,,UNITED KINGDOM
G-KEVG,,MT,,,,,,,,,,,,,,4058DB,G1P,CHRISTOPHER JAMES MORTON,UNITED KINGDOM
G-KEVH,,ULAC,,,,,,,,,,,,,,40473D,,,UNITED KINGDOM
G-KEVI,,JAB4,,,,,,,,,,,,,,404CC2,L1P,PRIVATE,UNITED KINGDOM
G-KEVJ,,SLG4,,,,,,,,,,,,,,407C64,,,UNITED KINGDOM
G-KEVK,,FDCT,,,,,,,,,,,,,,406107,L1P,PRIVATE,UNITED KINGDOM
G-KEVL,,EXEC,,,,,,,,,,,,,,4046A0,H1P,KEVIN DAVID LONGHURST,UNITED KINGDOM
G-KEVS,,ULAC,,,,,,,,,,,,,,40526C,,PRIVATE,UNITED KINGDOM
G-KEVZ,,ULAC,,,,,,,,,,,,,,40663B,,PRIVATE,UNITED KINGDOM
G-KEWT,,BALL,,,,,,,,,,,,,,404B8A,,PRIVATE,UNITED KINGDOM
G-KEYS,,PA27,,,,,,,,,,,,,,402221,L2P,PRIVATE,UNITED KINGDOM
G-KEYY,,BALL,,,,,,,,,,,,,,402BA9,,PRIVATE,UNITED KINGDOM
G-KFBA,,TFUN,,,,,,,,,,,,,,406C73,L1P,PRIVATE,UNITED KINGDOM
G-KFCW,,NNJA,,,,,,,,,,,,,,4081A4,,,UNITED KINGDOM
G-KFFD,,ARCP,,,,,,,,,,,,,,407AAC,L1P,,UNITED KINGDOM
G-KFLY,,FDCT,,,,,,,,,,,,,,405102,L1P,PRIVATE,UNITED KINGDOM
G-KFOG,,RV7,,,,,,,,,,,,,,406F8C,L1P,PRIVATE,UNITED KINGDOM
G-KFOX,,FOX,,,,,,,FOX,,,,,,,402CB5,L1P,PRIVATE,UNITED KINGDOM
G-KFTI,,PC12,,,,,,,,,,,,,,407646,L1T,,UNITED KINGDOM
G-KFVG,,ARCP,,,,,,,,,,,,,,406AA3,L1P,PRIVATE,UNITED KINGDOM
G-KGAO,,SF25,,,,,,,,,,,,,,4041EF,L1P,PRIVATE,UNITED KINGDOM
G-KGAW,,SF25,,,,,,,,,,,,,,4068,L1P,PRIVATE,UNITED KINGDOM
G-KGKG,,E35L,,,,,,,,,,,,,,407761,L2J,,UNITED KINGDOM
G-KGMM,,VENT,,,,,,,,,,,,,,406D23,L1P,PRIVATE,UNITED KINGDOM
G-KHCC,,VENT,,,,,,,,,,,,,,404F97,L1P,PRIVATE,UNITED KINGDOM
G-KHCG,,AS55,,,,,,,,,,,,,,402DDB,H2T,CE AVIATION UK LTD,UNITED KINGDOM
G-KHEA,,UNDEFINED,,,,,,,,,,,,,,40678F,,,UNITED KINGDOM
G-KHEH,,G109,,,,,,,,,,,,,,4056FF,L1P,PRIVATE,UNITED KINGDOM
G-KHOP,,CH60,,,,,,,,,,,,,,4.04E+94,L1P,PRIVATE,UNITED KINGDOM
G-KHPI,,AS28,,,,,,,,,,,,,,406FF4,L1P,PRIVATE,UNITED KINGDOM
G-KHRE,,RALL,,,,,,,,,,,,,,402222,L1P,PRIVATE,UNITED KINGDOM
G-KIAB,,SF25,,,,,,,,,,,,,,407209,L1P,PRIVATE,UNITED KINGDOM
G-KIAN,,P28R,,,,,,,,,,,,,,406EFF,L1P,PRIVATE,UNITED KINGDOM
G-KIAU,,SF25,,,,,,,,,,,,,,406BF0,L1P,PRIVATE,UNITED KINGDOM
G-KICK,,ULAC,,,,,,,,,,,,,,4043AC,,PRIVATE,UNITED KINGDOM
G-KIDD,,JAB4,,,,,,,,,,,,,,405003,L1P,PRIVATE,UNITED KINGDOM
G-KIEV,,BALL,,,,,,,,,,,,,,405A00,,PRIVATE,UNITED KINGDOM
G-KIGL,,NG5,,,,,,,,,,,,,,40811C,,,UNITED KINGDOM
G-KIII,,E300,,,,,,,,,,,,,,401040,L1P,PRIVATE,UNITED KINGDOM
G-KIMA,,CH60,,,,,,,,,,,,,,404FA4,L1P,PRIVATE,UNITED KINGDOM
G-KIMB,,DR30,,,,,,,,,,,,,,403110,L1P,PRIVATE,UNITED KINGDOM
G-KIMH,,MT,,,,,,,,,,,,,,4062B5,G1P,PAUL BERNARD HARRISON,UNITED KINGDOM
G-KIMI,,P46T,,,,,,,,,,,,,,406CBB,L1T,MILAN KONSTANTINOVIC,UNITED KINGDOM
G-KIMK,,P68,,,,,,,,,,,,,,4010A0,L2P,PRIVATE,UNITED KINGDOM
G-KIMM,,EUPA,,,,,,,,,,,,,,4041FB,L1P,PRIVATE,UNITED KINGDOM
G-KIMS,,UNDEFINED,,,,,,,,,,,,,,4072DD,,,UNITED KINGDOM
G-KIMY,,DR40,,,,,,,,,,,,,,403FE0,L1P,PRIVATE,UNITED KINGDOM
G-KIMZ,,P28A,,,,,,,,,,,,,,40177B,L1P,PRIVATE,UNITED KINGDOM
G-KIND,,SR20,,,,,,,,,,,,,,407A31,L1P,,UNITED KINGDOM
G-KINL,,WCAT,,,,,,,,,,,,,,406904,L1P,PRIVATE,UNITED KINGDOM
G-KINT,,SF25,,,,,,,,,,,,,,4.06E+28,L1P,PRIVATE,UNITED KINGDOM
G-KINZ,,GYRO,,,,,,,,,,,,,,407C84,,,UNITED KINGDOM
G-KION,NEWCASTLE AVIATION LTD T/A NALJETS,C525,,,,,,,,,,,,,,407812,L2J,NEWCASTLE AVIATION LTD T/A NALJETS,UNITED KINGDOM
G-KIRB,,EUPA,,,,,,,,,,,,,,404446,L1P,PRIVATE,UNITED KINGDOM
G-KIRC,,UNDEFINED,,,,,,,,,,,,,,4032BC,,,UNITED KINGDOM
G-KIRT,,GLST,,,,,,,,,,,,,,406917,L1P,PRIVATE,UNITED KINGDOM
G-KISP,,GLID,,,,,,,,,,,,,,406DD1,,PRIVATE,UNITED KINGDOM
G-KISS,,KR2,,,,,,,,,,,,,,402226,L1P,PRIVATE,UNITED KINGDOM
G-KITH,,PNR3,,,,,,,,,,,,,,4050A5,L1P,PRIVATE,UNITED KINGDOM
